Ticker,P/E,ROE %,D/E,Price,50D Avg,200D Avg
ABT,16.05,30.6,27.1,104.0,99.6,95.15
BRKN,24.47,43.8,37.5,124.8,112.8,97.28
CICN,21.49,20.3,86.6,130.0,99.16,67.94
CLTN,18.92,19.9,36.8,64.9,60.14,53.69
IREN,6.5,20.8,41.1,125.5,118.15,111.86
SUN,20.08,22.7,94.1,153.4,147.46,138.33
